"","Date","Year","Month","CD_UF","PopTotal_UF","cases_total","time","state_index","year_index","base.fit","base.fit.lci","base.fit.uci","pred.uci","pred.mean","pred.median","pred.lci","state_code"
"166","2001-07-01",2001,7,14,450479,160,7,4,1,437.235592414895,278.533264716243,686.466948827685,1368.225,501.791,411.5,70.975,14
"167","2001-07-01",2001,7,15,7581051,210,7,5,1,392.966036730071,250.998542651127,615.349126782491,1228.325,436.272,358.5,50.975,15
"168","2001-07-01",2001,7,16,669526,461,7,6,1,207.703239699671,135.549185267446,318.314146905788,468.05,174.297,145.5,25.95,16
"169","2001-07-01",2001,7,17,1383445,73,7,7,1,109.457658481382,70.1075764406802,170.92193120792,352,121.554,99,16.975,17
"170","2001-07-01",2001,7,21,6574789,239,7,8,1,294.197953639165,188.10286401553,460.224667758253,776.05,302.022,262,51.975,21
"171","2001-07-01",2001,7,22,3118360,779,7,9,1,847.249694124102,546.914333950561,1312.71968524547,2495.5,894.001,776,140.9,22
"172","2001-07-01",2001,7,23,8452381,2312,7,10,1,2936.06592666008,1891.42985407052,4558.38781300583,8541.025,3121.978,2669.5,511.825,23
"173","2001-07-01",2001,7,24,3168027,3820,7,11,1,2900.42182220174,1886.32961390783,4460.34049611688,7653.1,2823.867,2320,367.675,24
"174","2001-07-01",2001,7,25,3766528,1378,7,12,1,1113.97747888853,721.44345122883,1720.37074912243,2964.175,1101.752,935,185.925,25
"175","2001-07-01",2001,7,26,8796448,1216,7,13,1,1047.61882282685,677.29463456245,1620.69791026228,2900.25,1058.153,890,195.9,26
"176","2001-07-01",2001,7,27,3120494,80,7,14,1,194.867813913405,123.657247903336,307.146622775342,596.025,207.304,173.5,38,27
"177","2001-07-01",2001,7,28,2068017,317,7,15,1,273.25573147771,176.008676907116,424.301255282871,737.1,276.975,236,36.925,28
"178","2001-07-01",2001,7,29,14016906,1084,7,16,1,1156.97399127681,747.517274988318,1791.00672718251,3227.025,1211.114,1007,182,29
"179","2001-07-01",2001,7,31,19597330,436,7,17,1,402.673348127626,259.651409646422,624.592331434499,1077.275,409.878,355.5,58,31
"180","2001-07-01",2001,7,32,3514952,440,7,18,1,304.59779747949,198.007247906147,468.64238272361,872.05,293.017,243,39.975,32
"181","2001-07-01",2001,7,33,15989929,2020,7,19,1,1455.59443145129,945.47403362088,2241.27397109309,3906.125,1417.344,1178.5,224.925,33
"182","2001-07-01",2001,7,35,41262199,1005,7,20,1,703.512683327457,454.766202080594,1088.50554187252,1843.2,651.701,551,99.975,35
"183","2001-07-01",2001,7,41,10444526,17,7,21,1,14.7052091234307,9.26565939433016,23.3431982068126,41.025,14.76,12,1,41
"184","2001-07-01",2001,7,42,6248436,1,7,22,1,1.27775292825466,0.690894988251567,2.36369583731692,5,1.358,1,0,42
"185","2001-07-01",2001,7,43,10693929,4,7,23,1,1.74958281770998,0.974949218331864,3.1404117084656,6,1.664,1,0,43
"186","2001-07-01",2001,7,50,2449024,57,7,24,1,98.1861573015584,62.5823897752774,154.070327259782,299.075,108.141,92,15,50
"187","2001-07-01",2001,7,51,3035122,56,7,25,1,76.7641692088995,48.9984629537762,120.286620107929,238.1,85.25,70.5,12,51
"188","2001-07-01",2001,7,52,6003788,267,7,26,1,286.504481363128,184.884226022147,444.054987728333,814.15,303.284,258.5,53.975,52
"189","2001-07-01",2001,7,53,2570160,76,7,27,1,65.9019478469117,42.1136461689004,103.146680257562,180.05,67.934,56,8.975,53
"190","2001-08-01",2001,8,11,1562409,20,8,1,1,22.74602124213,14.4399961558784,35.8365073834814,72.05,24.326,20,2,11
"191","2001-08-01",2001,8,12,733559,8,8,2,1,17.1547460278719,10.7714614917993,27.3251246180844,53.025,18.836,16,2,12
"192","2001-08-01",2001,8,13,3483985,55,8,3,1,395.985728812643,248.544798850034,630.990664760014,1392.325,490.713,403.5,64,13
"193","2001-08-01",2001,8,14,450479,257,8,4,1,461.885580529827,295.037973533484,723.204739472058,1531,518.293,432.5,71.975,14
"194","2001-08-01",2001,8,15,7581051,148,8,5,1,426.91666806419,272.488705572391,668.985174184397,1503.6,499.343,412.5,74.975,15
"195","2001-08-01",2001,8,16,669526,731,8,6,1,281.12807983003,184.666500903651,428.041366097259,610.125,218.768,185,32.975,16
"196","2001-08-01",2001,8,17,1383445,60,8,7,1,78.3108407741856,50.2608091973113,122.034197682754,209,79.791,69,11,17
