system:index,CD_MUN,LC_Type1,Municipality_Area,.geo
2708501,2708501,746910.15625,3.989026072318285E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2708600,2708600,746936.8125,3.370580456065866E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2708709,2708709,0.0,7.704715979770853E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2708808,2708808,1991861.28125,3.1621193325623655E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2708907,2708907,434484.0696078432,4.143778589963285E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2708956,2708956,0.0,3.434036425746854E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2709004,2709004,0.0,1.2513224030438653E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2709103,2709103,746928.703125,1.5447418438744137E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2709152,2709152,1244906.640625,3.0044474326170903E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2709202,2709202,702030.9238357843,6.84364945448645E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2709301,2709301,3983466.59375,4.221217424689513E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2709400,2709400,1493828.640625,3.69411147201566E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
1300029,1300029,1493357.9375,5.94972374310913E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1300060,1300060,2488940.09375,4.775231175120676E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1300086,1300086,1244477.640625,2.4569820775478377E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1300102,1300102,2488967.25,6.063051635179168E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1300144,1300144,4751239.129473039,5.447072353865854E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1300201,1300201,3600852.2476715688,7.676791797083688E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1300300,1300300,5475702.609375,7.68669593076134E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1300409,1300409,3982135.796875,1.2301006196159854E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1300508,1300508,7466716.484375,5.777351233421901E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1300607,1300607,2986823.4375,8.733387372159006E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1300631,1300631,541721.1185661765,1.754961775846854E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1300680,1300680,2737806.4375,2.6009340604857078E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1300706,1300706,7966728.3125,2.2030258994583317E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1300805,1300805,4978013.671875,4.442973787399378E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1300839,1300839,1244468.734375,9.497623910066483E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1300904,1300904,995755.25,3.3787126627573177E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1301001,1301001,7218289.71875,2.589161187186306E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1301100,1301100,3235665.34375,6.123238692204595E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1301159,1301159,0.0,2.639147611379422E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1301209,1301209,1.46852293125E7,5.822628792018487E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1301308,1301308,0.0,1.8783796846917793E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1301407,1301407,9708164.71875,1.5030338271934935E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1301506,1301506,5974522.453125,7.537671450621097E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1301605,1301605,6471113.03125,1.220968970055214E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1301654,1301654,1244699.671875,7.615836102519494E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1301704,1301704,1.244696375E7,3.3252413531903168E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1301803,1301803,3236124.375,1.216156782236132E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1301852,1301852,0.0,2.2266829127104836E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1301902,1301902,1.568022771875E7,8.931451882707258E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1301951,1301951,1991393.34375,2.536928866554537E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1302009,1302009,3484462.375,4.354425326885545E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1302108,1302108,5475485.9375,5.6077320658614685E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1302207,1302207,2737844.3125,1.9528780623550877E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1302306,1302306,4231135.484375,6.976264009532362E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1302405,1302405,5725524.1875,6.854962161807827E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1302504,1302504,7466809.53125,7.369179643868231E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1302553,1302553,0.0,3.990859748524162E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1302603,1302603,2.49638729046875E8,1.1451938299519508E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1302702,1302702,7720322.587254902,4.852389865132374E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1302801,1302801,0.0,1.6905962527462027E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1302900,1302900,5475671.5625,4.016576524693106E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1303007,1303007,2737755.484375,1.4170288699187012E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1303106,1303106,3733468.265625,5.602810577086871E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1303205,1303205,2737784.96875,3.794569164623985E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1303304,1303304,4480363.546875,4.135606632629181E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1303403,1303403,1.5680036234375E7,5.982596541251863E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1303502,1303502,1493654.96875,4.180114569214538E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1303536,1303536,9457610.65625,2.557318130023253E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1303569,1303569,0.0,5.84158542808016E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1303601,1303601,2737714.140625,6.308187995047151E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1303700,1303700,3982271.53125,1.2421354952577646E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1303809,1303809,3.0364661120526962E7,1.0967233093995514E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1303908,1303908,4729004.921875,1.974509220934872E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1303957,1303957,1743200.4887254902,1.0695107370311653E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1304005,1304005,2737797.6875,3.7399805225428467E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1304062,1304062,4485090.444178922,3.2805194585277505E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1304104,1304104,8904391.289583333,8.531373183358289E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1304203,1304203,1.6675922328125E7,2.3796633844983757E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1304237,1304237,2240017.84375,6.475647953761528E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1304260,1304260,1244457.796875,1.0320382971620665E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1304302,1304302,4975796.772549019,2.8027381184865246E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1304401,1304401,2240032.25,2.899361319578659E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1600055,1600055,0.0,7.747584246466393E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1600105,1600105,3676692.4140931373,8.492690077983185E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1600154,1600154,0.0,9.66543620869531E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1600204,1600204,3291187.0886029415,1.418033064240477E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1600212,1600212,0.0,2.1888809681241674E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1600238,1600238,0.0,4.996628885784147E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1600253,1600253,0.0,1.6301469477975547E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1600279,1600279,0.0,3.092111185156689E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1600303,1600303,3.9572321546875E7,6.593321532147936E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1600402,1600402,0.0,1.3354463111964788E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
