system:index,CD_MUN,Municipality_Area,max_elevation,mean_elevation,min_elevation,stdDev_elevation,variance_elevation,.geo
2410405,2410405,5.064972562875909E8,200,97.03514223217671,2,40.564372712523365,1645.46833356051,"{""type"":""MultiPoint"",""coordinates"":[]}"
2410504,2410504,7.857158457925616E7,317,233.12036044795215,202,14.657894817748698,214.85388048818413,"{""type"":""MultiPoint"",""coordinates"":[]}"
2410603,2410603,1.0050770342327483E8,487,203.4954261854955,146,26.926335254476175,725.0275302364466,"{""type"":""MultiPoint"",""coordinates"":[]}"
2410702,2410702,1.2777638621194847E8,514,173.14962912469434,101,50.25794762211347,2525.861299187101,"{""type"":""MultiPoint"",""coordinates"":[]}"
2410801,2410801,1.286623506621988E8,810,347.3898864661007,228,115.26932264699524,13287.016743497088,"{""type"":""MultiPoint"",""coordinates"":[]}"
2410900,2410900,2.6402803976567692E8,387,160.3129476354308,84,53.73281384854535,2887.2152840824265,"{""type"":""MultiPoint"",""coordinates"":[]}"
2411007,2411007,1.5551436634149167E8,528,192.6894395627369,144,38.392433289849535,1473.9789339155466,"{""type"":""MultiPoint"",""coordinates"":[]}"
2411056,2411056,1.7011284558289257E8,63,30.94437195323038,0,14.153310223190333,200.31619027386398,"{""type"":""MultiPoint"",""coordinates"":[]}"
2411106,2411106,1.2636016605319265E8,431,245.23109219747948,92,71.33530959112377,5087.0890930098485,"{""type"":""MultiPoint"",""coordinates"":[]}"
2411205,2411205,6.270606297558142E8,558,264.2112088550577,169,54.196221733489516,2937.2304501855615,"{""type"":""MultiPoint"",""coordinates"":[]}"
2411403,2411403,1.428455622309904E9,721,198.9159734843824,55,143.59168816957967,20618.572911389805,"{""type"":""MultiPoint"",""coordinates"":[]}"
2411429,2411429,1.892134905609519E8,670,318.8843046249843,228,72.70649627726847,5286.234600916455,"{""type"":""MultiPoint"",""coordinates"":[]}"
2411502,2411502,3.023847133969728E8,185,102.96897728317103,55,19.2099308807935,369.0214444448638,"{""type"":""MultiPoint"",""coordinates"":[]}"
2411601,2411601,2.9002380750203234E8,79,29.784558696393862,-7,19.3340422012991,373.8051878416145,"{""type"":""MultiPoint"",""coordinates"":[]}"
2411700,2411700,1.9164379109637138E8,564,296.14301371052767,213,61.47018518518877,3778.5836667014005,"{""type"":""MultiPoint"",""coordinates"":[]}"
2411809,2411809,4.0618051893010074E8,348,154.84238471644704,87,26.047075851820377,678.4501604304843,"{""type"":""MultiPoint"",""coordinates"":[]}"
2411908,2411908,7.591522472902773E7,549,209.97309368546033,150,49.8695775652111,2486.9747665326067,"{""type"":""MultiPoint"",""coordinates"":[]}"
