"","Date","Year","Month","ADM1_PCODE","Pop0_19","cases0_19","pred.mean","pred.median","pred.lci","pred.uci"
"158",2012-03-01,2012,3,"PE17",61776,40,27.243,16,0,126
"159",2012-03-01,2012,3,"PE20",738144,7,280.109,138,1,1410.225
"160",2012-03-01,2012,3,"PE22",342603,51,491.631,223.5,3,2452.675
"161",2012-03-01,2012,3,"PE24",87342,5,16.219,9,0,75.025
"162",2012-03-01,2012,3,"PE25",235480,56,448.266,225,2,2213.8
"163",2012-04-01,2012,4,"PE16",446868,298,162.165,85,1,781.275
"164",2012-04-01,2012,4,"PE17",61776,72,26.065,14,0,122
"165",2012-04-01,2012,4,"PE20",738144,21,431.71,210.5,2,2188.825
"166",2012-04-01,2012,4,"PE22",342603,18,409.813,188,1.975,2139.6
"167",2012-04-01,2012,4,"PE24",87342,3,24.224,13,0,108.05
"168",2012-04-01,2012,4,"PE25",235480,3,300.395,148.5,2,1466.025
"169",2012-05-01,2012,5,"PE16",446868,184,109.893,55,1,535.175
"170",2012-05-01,2012,5,"PE17",61776,81,19.506,10,0,82
"171",2012-05-01,2012,5,"PE20",738144,78,364.61,173,2,1902.425
"172",2012-05-01,2012,5,"PE22",342603,26,330.526,153,2,1802.125
"173",2012-05-01,2012,5,"PE24",87342,16,29.776,16,0,150.075
"174",2012-05-01,2012,5,"PE25",235480,5,217.966,112.5,1,967.05
"175",2012-06-01,2012,6,"PE16",446868,202,69.373,41.5,0,305.025
"176",2012-06-01,2012,6,"PE17",61776,100,10.508,6,0,46.025
"177",2012-06-01,2012,6,"PE20",738144,113,190.504,96,1,898.525
"178",2012-06-01,2012,6,"PE22",342603,49,266.051,119,1,1354.525
"179",2012-06-01,2012,6,"PE24",87342,97,19.604,11,0,92
"180",2012-06-01,2012,6,"PE25",235480,3,204.634,99,1,1013.325
"181",2012-07-01,2012,7,"PE16",446868,49,65.305,34,0,309
"182",2012-07-01,2012,7,"PE17",61776,46,8.984,5,0,38
"183",2012-07-01,2012,7,"PE20",738144,75,105.466,48.5,1,511.325
"184",2012-07-01,2012,7,"PE22",342603,188,231.534,103,1,1264.15
"185",2012-07-01,2012,7,"PE24",87342,52,15.426,9,0,66
"186",2012-07-01,2012,7,"PE25",235480,11,175.672,92,1,786.025
"187",2012-08-01,2012,8,"PE16",446868,29,63.037,35,0,276
"188",2012-08-01,2012,8,"PE17",61776,16,7.078,4,0,35.025
"189",2012-08-01,2012,8,"PE20",738144,33,64.421,30,0,300.125
"190",2012-08-01,2012,8,"PE22",342603,300,179.429,91.5,1,789.25
"191",2012-08-01,2012,8,"PE24",87342,17,12.029,6,0,54.025
"192",2012-08-01,2012,8,"PE25",235480,9,173.763,92.5,0.975000000000001,849.175
"193",2012-09-01,2012,9,"PE16",446868,54,67.401,40,0,293.1
"194",2012-09-01,2012,9,"PE17",61776,8,10.961,6,0,51.025
"195",2012-09-01,2012,9,"PE20",738144,25,51.653,24.5,0,260.025
"196",2012-09-01,2012,9,"PE22",342603,53,232.382,117,1,1083.025
"197",2012-09-01,2012,9,"PE24",87342,21,7.968,4,0,38.025
"198",2012-09-01,2012,9,"PE25",235480,39,262.399,131.5,1,1234.45
"199",2012-10-01,2012,10,"PE16",446868,62,101.43,57,0,448.25
"200",2012-10-01,2012,10,"PE17",61776,49,18.224,10,0,89
"201",2012-10-01,2012,10,"PE20",738144,15,42.736,18,0,221.025
