"","Date","Year","Month","ADM1_PCODE","PopTotal","cases_total","pred.mean","pred.median","pred.lci","pred.uci"
"272",2013-10-01,2013,10,"PE17",161203,67,47.968,27,0,208.05
"273",2013-10-01,2013,10,"PE20",1929969,17,156.463,73,0,752.574999999999
"274",2013-10-01,2013,10,"PE22",862467,89,392.219,175.5,1,1894.475
"275",2013-10-01,2013,10,"PE24",234701,10,12.395,6,0,60.05
"276",2013-10-01,2013,10,"PE25",548999,35,370.017,171,2,1938.625
"277",2013-11-01,2013,11,"PE16",981899,613,530.998,283,2,2461.225
"278",2013-11-01,2013,11,"PE17",161203,224,104.716,61,0,439.3
"279",2013-11-01,2013,11,"PE20",1929969,15,130.138,60,0,656.3
"280",2013-11-01,2013,11,"PE22",862467,123,529.658,243.5,2,2681.625
"281",2013-11-01,2013,11,"PE24",234701,6,10.372,5,0,47.025
"282",2013-11-01,2013,11,"PE25",548999,85,681.871,358,4,3475.55
"283",2013-12-01,2013,12,"PE16",981899,459,717.863,377.5,6.975,3454.075
"284",2013-12-01,2013,12,"PE17",161203,179,92.267,57,1,388
"285",2013-12-01,2013,12,"PE20",1929969,2,176.936,80.5,1,914.649999999998
"286",2013-12-01,2013,12,"PE22",862467,117,692.159,305.5,3,3660.45
"287",2013-12-01,2013,12,"PE24",234701,1,9.038,5,0,42.025
"288",2013-12-01,2013,12,"PE25",548999,127,928.769,467,3.975,4394.4
"289",2014-01-01,2014,1,"PE16",981899,946,1305.749,700.5,7.975,5476.075
"290",2014-01-01,2014,1,"PE17",161203,330,37.503,22,0,161.05
"291",2014-01-01,2014,1,"PE20",1929969,16,621.179,249,1.975,3608.9
"292",2014-01-01,2014,1,"PE22",862467,417,477.62,213.5,2,2657.125
"293",2014-01-01,2014,1,"PE24",234701,68,94.071,48,0,463.1
"294",2014-01-01,2014,1,"PE25",548999,173,718.138,360,3.975,3487.875
"295",2014-02-01,2014,2,"PE16",981899,1145,1062.647,541,8,5019.35
"296",2014-02-01,2014,2,"PE17",161203,188,34.597,21,0,161.05
"297",2014-02-01,2014,2,"PE20",1929969,18,1148.023,506.5,8,5974.825
"298",2014-02-01,2014,2,"PE22",862467,518,479.365,207.5,2,2482.45
"299",2014-02-01,2014,2,"PE24",234701,41,149.61,76,1,699
"300",2014-02-01,2014,2,"PE25",548999,118,524.869,244.5,4,2603.375
"301",2014-03-01,2014,3,"PE16",981899,722,856.375,419.5,3,4131.775
"302",2014-03-01,2014,3,"PE17",161203,120,35.714,18,0,173.025
"303",2014-03-01,2014,3,"PE20",1929969,241,2329.093,1085,15,12374.475
"304",2014-03-01,2014,3,"PE22",862467,377,422.342,199.5,1,2310.35
"305",2014-03-01,2014,3,"PE24",234701,66,237.551,115,1.975,1113.2
"306",2014-03-01,2014,3,"PE25",548999,114,356.616,155.5,1,1830.75
"307",2014-04-01,2014,4,"PE16",981899,480,674.304,354,3,2971.95
"308",2014-04-01,2014,4,"PE17",161203,101,31.607,17,0,156.025
